company_code,company_name
3603867479-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN CABX TẠI TP. HCM
0314518547-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TỨ UYÊN
0109863893-003,CÔNG TY CỔ PHẦN TẬP ĐOÀN TÀI CHÍNH CÔNG NGHỆ UMEE - CHI NHÁNH LÊ QUÝ ĐÔN
0311114017-010,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN NEW IMAGE VIỆT NAM - KHO HÀNG HÓA
0313318496-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN XÂY DỰNG VÀ DẦU NHỚT MINH GIANG
0313861374-001,CHI NHÁNH - CÔNG TY TNHH THỰC PHẨM - MỸ PHẨM NHẬT VIỆT
0316272151-004,CÔNG TY TNHH Q8 LASER VIỆT NAM - CHI NHÁNH THỦ ĐỨC
0317323070-001,CHI NHÁNH CÔNG TY TNHH ESG JEANS - XƯỞNG SẢN XUẤT GIA CÔNG MAY MẶC
3702547864-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH ĐIỆN LẠNH PHƯƠNG AN TẠI TP.HCM
0700847401-001,CHI NHÁNH CÔNG TY CP NHÔM KHANG MINH TẠI THÀNH PHỐ HỒ CHÍ MINH
2901948509-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN BIỂN QUỲNH
8097937662,LÝ THỊ LIÊN
0317385542,BAN QUẢN TRỊ CHUNG CƯ THANH ĐA VIEW
0108573260-002,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH AVANTI-GROUP
0312549726-003,SCARLETT - CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN SAMAA
4001200094-001,VĂN PHÒNG ĐẠI DIỆN - CÔNG TY TNHH CÔNG NGHỆ SỐ ĐOM ĐÓM
0317207571-001,CHI NHÁNH CÔNG TY CỔ PHẦN CÔNG NGHỆ 3P COS
0314405952-009,CÔNG TY CỔ PHẦN INN SAIGON – CHI NHÁNH ESTA
0303530775-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH TƯ VẤN THIẾT KẾ KIẾN TRÚC VÀ XÂY DỰNG NGHI HÂN
5900971902-001,CHI NHÁNH CÔNG TY TNHH MỘT THÀNH VIÊN GIÀU NGUYỄN TẠI THÀNH PHỐ HỒ CHÍ MINH
0313042544-003,CHI NHÁNH 3 CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU THỜI TRANG MINH THY
0313729425-001,CHI NHÁNH TÂN BÌNH � CÔNG TY CỔ PHẦN BSTAR SOLUTIONS
0314515810-001,CHI NHÁNH CÔNG TY TNHH GIÁO DỤC VÀ PHÁT TRIỂN TƯ DUY VIBI
0314608381-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ KỸ THUẬT THUẬN PHÁT
0314662572-001,CHI NHÁNH CÔNG TY TNHH GIÁO DỤC NGÔI SAO VIỆT
0316322035-001,CHI NHÁNH CÔNG TY TNHH TM DV L'AURORE
0316329087-001,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THIẾT BỊ Y TẾ ANH HUY
0316502510-001,CHI NHÁNH CÔNG TY TNHH DỊCH VỤ VẬN CHUYỂN QUỐC TẾ MINH ANH
0316863122-001,CHI NHÁNH CÔNG TY TNHH XUẤT NHẬP KHẨU D&P RUBY
0316970621-001,CHI NHÁNH CÔNG TY TNHH TMDV TÙNG BÁCH CÁT
0317037217-002,CHI NHÁNH CÔNG TY TNHH GOTTA HOMES - THÀNH PHỐ THỦ ĐỨC
0317335541-001,CHI NHÁNH CÔNG TY TNHH BẤT ĐỘNG SẢN LỘC PHÚ
0401973084-005,VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ VẠN HẢI - TẠI THÀNH PHỐ HỒ CHÍ MINH
